strategy,subset,precision,recall,f1,avg_reads,n
Greedy (1),all,0.6127,0.3063,0.4084,1.00,1500
Greedy (1),gold=2,0.6127,0.3063,0.4084,1.00,1500
Greedy (2),all,0.4470,0.4470,0.4470,2.00,1500
Greedy (2),gold=2,0.4470,0.4470,0.4470,2.00,1500
Greedy (3),all,0.3476,0.5213,0.4171,3.00,1500
Greedy (3),gold=2,0.3476,0.5213,0.4171,3.00,1500
Greedy (4),all,0.2905,0.5810,0.3873,4.00,1500
Greedy (4),gold=2,0.2905,0.5810,0.3873,4.00,1500
Greedy (5),all,0.2556,0.6390,0.3651,5.00,1500
Greedy (5),gold=2,0.2556,0.6390,0.3651,5.00,1500
Greedy (6),all,0.2311,0.6933,0.3467,6.00,1500
Greedy (6),gold=2,0.2311,0.6933,0.3467,6.00,1500
Greedy (7),all,0.2112,0.7393,0.3286,7.00,1500
Greedy (7),gold=2,0.2112,0.7393,0.3286,7.00,1500
BC (zero-shot),all,0.4871,0.5277,0.5066,2.17,1500
BC (zero-shot),gold=2,0.4871,0.5277,0.5066,2.17,1500
PPO (zero-shot),all,0.5136,0.5240,0.5187,2.04,1500
PPO (zero-shot),gold=2,0.5136,0.5240,0.5187,2.04,1500
